,Accuracy of Logistic Regression Algorithm,Accuracy of LDA Algorithm,Accuracy of XgBoost,Accuracy of Random Forest,Black PPR RF,Black PPR XG,Black PPR LDA,Black PPR LR,White PPR RF,White PPR XG,White PPR LDA,White PPR LR,Black NPR RF,Black NPR XG,Black NPR LDA,Black NPR LR,White NPR RF,White NPR XG,White NPR LDA,White NPR LR,Black TPR RF,Black TPR XG,Black TPR LDA,Black TPR LR,White TPR RF,White TPR XG,White TPR LDA,White TPR LR,Black FPR RF,Black FPR XG,Black FPR LDA,Black FPR LR,White FPR RF,White FPR XG,White FPR LDA,White FPR LR,Black TNR RF,Black TNR XG,Black TNR LDA,Black TNR LR,White TNR RF,White TNR XG,White TNR LDA,White TNR LR,Black FNR RF,Black FNR XG,Black FNR LDA,Black FNR LR,White FNR RF,White FNR XG,White FNR LDA,White FNR LR,Black PPR among PP RF,Black PPR among PP XG,Black PPR among PP LDA,Black PPR among PP LR,White PPR among PP RF,White PPR among PP XG,White PPR among PP LDA,White PPR among PP LR,Black NPR among NP RF,Black NPR among NP XG,Black NPR among NP LDA,Black NPR among NP LR,White NPR among NP RF,White NPR among NP XG,White NPR among NP LDA,White NPR among NP LR,Black Accuracy under Random Forest,White Accuracy under Random Forest,White Accuracy under XG,Black Accuracy under XG,White Accuracy under LDA,Black Accuracy under LDA,White Accuracy under LR,Black Accuracy under LR
10,0.6601941747572816,0.7572815533980582,0.7281553398058253,0.7475728155339806,0.234375,0.296875,0.3125,0.28125,0.48717948717948717,0.48717948717948717,0.4358974358974359,0.3333333333333333,0.765625,0.703125,0.6875,0.71875,0.5128205128205128,0.5128205128205128,0.5641025641025641,0.6666666666666666,0.1875,0.203125,0.234375,0.171875,0.41025641025641024,0.41025641025641024,0.38461538461538464,0.28205128205128205,0.046875,0.09375,0.078125,0.109375,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.546875,0.5,0.515625,0.484375,0.358974358974359,0.358974358974359,0.38461538461538464,0.38461538461538464,0.21875,0.203125,0.171875,0.234375,0.15384615384615385,0.15384615384615385,0.1794871794871795,0.28205128205128205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.734375,0.7692307692307693,0.7692307692307693,0.703125,0.7692307692307693,0.75,0.6666666666666666,0.65625
11,0.6116504854368932,0.7378640776699029,0.7572815533980582,0.7766990291262136,0.32786885245901637,0.39344262295081966,0.39344262295081966,0.16393442622950818,0.30952380952380953,0.4523809523809524,0.35714285714285715,0.14285714285714285,0.6721311475409836,0.6065573770491803,0.6065573770491803,0.8360655737704918,0.6904761904761905,0.5476190476190477,0.6428571428571429,0.8571428571428571,0.2459016393442623,0.26229508196721313,0.26229508196721313,0.06557377049180328,0.2619047619047619,0.3333333333333333,0.2619047619047619,0.11904761904761904,0.08196721311475409,0.13114754098360656,0.13114754098360656,0.09836065573770492,0.047619047619047616,0.11904761904761904,0.09523809523809523,0.023809523809523808,0.5409836065573771,0.4918032786885246,0.4918032786885246,0.5245901639344263,0.5,0.42857142857142855,0.4523809523809524,0.5238095238095238,0.13114754098360656,0.11475409836065574,0.11475409836065574,0.3114754098360656,0.19047619047619047,0.11904761904761904,0.19047619047619047,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7868852459016393,0.7619047619047619,0.7619047619047619,0.7540983606557377,0.7142857142857143,0.7540983606557377,0.6428571428571429,0.5901639344262295
12,0.6407766990291263,0.7087378640776699,0.7378640776699029,0.7281553398058253,0.25862068965517243,0.3275862068965517,0.3448275862068966,0.3103448275862069,0.4444444444444444,0.4222222222222222,0.4666666666666667,0.3111111111111111,0.7413793103448276,0.6724137931034483,0.6551724137931034,0.6896551724137931,0.5555555555555556,0.5777777777777777,0.5333333333333333,0.6888888888888889,0.22413793103448276,0.27586206896551724,0.25862068965517243,0.22413793103448276,0.37777777777777777,0.35555555555555557,0.37777777777777777,0.24444444444444444,0.034482758620689655,0.05172413793103448,0.08620689655172414,0.08620689655172414,0.06666666666666667,0.06666666666666667,0.08888888888888889,0.06666666666666667,0.4827586206896552,0.46551724137931033,0.43103448275862066,0.43103448275862066,0.37777777777777777,0.37777777777777777,0.35555555555555557,0.37777777777777777,0.25862068965517243,0.20689655172413793,0.22413793103448276,0.25862068965517243,0.17777777777777778,0.2,0.17777777777777778,0.3111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7068965517241379,0.7555555555555555,0.7333333333333333,0.7413793103448276,0.7333333333333333,0.6896551724137931,0.6222222222222222,0.6551724137931034
13,0.6407766990291263,0.6699029126213593,0.7378640776699029,0.6893203883495146,0.423728813559322,0.4067796610169492,0.3898305084745763,0.3898305084745763,0.38636363636363635,0.4772727272727273,0.3409090909090909,0.3181818181818182,0.576271186440678,0.5932203389830508,0.6101694915254238,0.6101694915254238,0.6136363636363636,0.5227272727272727,0.6590909090909091,0.6818181818181818,0.23728813559322035,0.2542372881355932,0.2033898305084746,0.2033898305084746,0.2727272727272727,0.3409090909090909,0.25,0.20454545454545456,0.1864406779661017,0.15254237288135594,0.1864406779661017,0.1864406779661017,0.11363636363636363,0.13636363636363635,0.09090909090909091,0.11363636363636363,0.423728813559322,0.4576271186440678,0.423728813559322,0.423728813559322,0.45454545454545453,0.4318181818181818,0.4772727272727273,0.45454545454545453,0.15254237288135594,0.13559322033898305,0.1864406779661017,0.1864406779661017,0.1590909090909091,0.09090909090909091,0.18181818181818182,0.22727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6610169491525424,0.7272727272727273,0.7727272727272727,0.711864406779661,0.7272727272727273,0.6271186440677966,0.6590909090909091,0.6271186440677966
14,0.7864077669902912,0.7961165048543689,0.8252427184466019,0.7961165048543689,0.3559322033898305,0.2711864406779661,0.3220338983050847,0.2711864406779661,0.4318181818181818,0.4772727272727273,0.4318181818181818,0.3409090909090909,0.6440677966101694,0.7288135593220338,0.6779661016949152,0.7288135593220338,0.5681818181818182,0.5227272727272727,0.5681818181818182,0.6590909090909091,0.2542372881355932,0.22033898305084745,0.2542372881355932,0.2033898305084746,0.36363636363636365,0.4090909090909091,0.3409090909090909,0.3181818181818182,0.1016949152542373,0.05084745762711865,0.06779661016949153,0.06779661016949153,0.06818181818181818,0.06818181818181818,0.09090909090909091,0.022727272727272728,0.5254237288135594,0.576271186440678,0.559322033898305,0.559322033898305,0.45454545454545453,0.45454545454545453,0.4318181818181818,0.5,0.11864406779661017,0.15254237288135594,0.11864406779661017,0.1694915254237288,0.11363636363636363,0.06818181818181818,0.13636363636363635,0.1590909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7796610169491526,0.8181818181818182,0.8636363636363636,0.7966101694915254,0.7727272727272727,0.8135593220338984,0.8181818181818182,0.7627118644067796
15,0.5922330097087378,0.6601941747572816,0.7087378640776699,0.6699029126213593,0.3968253968253968,0.3968253968253968,0.3968253968253968,0.19047619047619047,0.35,0.4,0.375,0.225,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.8095238095238095,0.65,0.6,0.625,0.775,0.25396825396825395,0.30158730158730157,0.2698412698412698,0.12698412698412698,0.275,0.275,0.25,0.15,0.14285714285714285,0.09523809523809523,0.12698412698412698,0.06349206349206349,0.075,0.125,0.125,0.075,0.3333333333333333,0.38095238095238093,0.3492063492063492,0.4126984126984127,0.525,0.475,0.475,0.525,0.2698412698412698,0.2222222222222222,0.25396825396825395,0.3968253968253968,0.125,0.125,0.15,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5873015873015873,0.8,0.75,0.6825396825396826,0.725,0.6190476190476191,0.675,0.5396825396825397
16,0.5242718446601942,0.6310679611650486,0.7087378640776699,0.6699029126213593,0.3188405797101449,0.43478260869565216,0.3188405797101449,0.14492753623188406,0.35294117647058826,0.47058823529411764,0.35294117647058826,0.20588235294117646,0.6811594202898551,0.5652173913043478,0.6811594202898551,0.855072463768116,0.6470588235294118,0.5294117647058824,0.6470588235294118,0.7941176470588235,0.2463768115942029,0.2898550724637681,0.21739130434782608,0.043478260869565216,0.20588235294117646,0.35294117647058826,0.20588235294117646,0.14705882352941177,0.07246376811594203,0.14492753623188406,0.10144927536231885,0.10144927536231885,0.14705882352941177,0.11764705882352941,0.14705882352941177,0.058823529411764705,0.463768115942029,0.391304347826087,0.43478260869565216,0.43478260869565216,0.38235294117647056,0.4117647058823529,0.38235294117647056,0.47058823529411764,0.21739130434782608,0.17391304347826086,0.2463768115942029,0.42028985507246375,0.2647058823529412,0.11764705882352941,0.2647058823529412,0.3235294117647059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7101449275362319,0.5882352941176471,0.7647058823529411,0.6811594202898551,0.5882352941176471,0.6521739130434783,0.6176470588235294,0.4782608695652174
17,0.7378640776699029,0.7669902912621359,0.7766990291262136,0.7961165048543689,0.3333333333333333,0.3148148148148148,0.37037037037037035,0.3148148148148148,0.40816326530612246,0.46938775510204084,0.46938775510204084,0.3877551020408163,0.6666666666666666,0.6851851851851852,0.6296296296296297,0.6851851851851852,0.5918367346938775,0.5306122448979592,0.5306122448979592,0.6122448979591837,0.3148148148148148,0.2962962962962963,0.3148148148148148,0.2962962962962963,0.30612244897959184,0.32653061224489793,0.32653061224489793,0.24489795918367346,0.018518518518518517,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.10204081632653061,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.4897959183673469,0.4489795918367347,0.4489795918367347,0.4489795918367347,0.18518518518518517,0.2037037037037037,0.18518518518518517,0.2037037037037037,0.10204081632653061,0.08163265306122448,0.08163265306122448,0.16326530612244897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7962962962962963,0.7959183673469388,0.7755102040816326,0.7777777777777778,0.7755102040816326,0.7592592592592593,0.6938775510204082,0.7777777777777778
18,0.5825242718446602,0.6796116504854369,0.7087378640776699,0.7184466019417476,0.2692307692307692,0.40384615384615385,0.36538461538461536,0.15384615384615385,0.37254901960784315,0.4117647058823529,0.39215686274509803,0.21568627450980393,0.7307692307692307,0.5961538461538461,0.6346153846153846,0.8461538461538461,0.6274509803921569,0.5882352941176471,0.6078431372549019,0.7843137254901961,0.21153846153846154,0.2692307692307692,0.28846153846153844,0.07692307692307693,0.29411764705882354,0.3137254901960784,0.23529411764705882,0.1568627450980392,0.057692307692307696,0.1346153846153846,0.07692307692307693,0.07692307692307693,0.0784313725490196,0.09803921568627451,0.1568627450980392,0.058823529411764705,0.5,0.4230769230769231,0.4807692307692308,0.4807692307692308,0.43137254901960786,0.4117647058823529,0.35294117647058826,0.45098039215686275,0.23076923076923078,0.17307692307692307,0.15384615384615385,0.36538461538461536,0.19607843137254902,0.17647058823529413,0.2549019607843137,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7115384615384616,0.7254901960784313,0.7254901960784313,0.6923076923076923,0.5882352941176471,0.7692307692307693,0.6078431372549019,0.5576923076923077
19,0.7184466019417476,0.7669902912621359,0.7475728155339806,0.7378640776699029,0.23076923076923078,0.28846153846153844,0.15384615384615385,0.057692307692307696,0.39215686274509803,0.39215686274509803,0.4117647058823529,0.2549019607843137,0.7692307692307693,0.7115384615384616,0.8461538461538461,0.9423076923076923,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.7450980392156863,0.15384615384615385,0.19230769230769232,0.1346153846153846,0.019230769230769232,0.23529411764705882,0.23529411764705882,0.2549019607843137,0.19607843137254902,0.07692307692307693,0.09615384615384616,0.019230769230769232,0.038461538461538464,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.058823529411764705,0.5769230769230769,0.5576923076923077,0.6346153846153846,0.6153846153846154,0.5098039215686274,0.5098039215686274,0.5098039215686274,0.6078431372549019,0.19230769230769232,0.15384615384615385,0.21153846153846154,0.3269230769230769,0.09803921568627451,0.09803921568627451,0.0784313725490196,0.13725490196078433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7307692307692307,0.7450980392156863,0.7450980392156863,0.75,0.7647058823529411,0.7692307692307693,0.803921568627451,0.6346153846153846
