,LRPrivPPR,LRProtPPR,LRPrivNPR,LRProtNPR,LDAPrivPPR,LDAProtPPR,LDAPrivNPR,LDAProtNPR,XGPrivPPR,XGProtPPR,XGPrivNPR,XGProtNPR,RFPrivPPR,RFProtPPR,RFPrivNPR,RFProtNPR
108,0.07692307692307693,0.058823529411764705,0.9230769230769231,0.9411764705882353,0.36538461538461536,0.35294117647058826,0.6346153846153846,0.6470588235294118,0.38461538461538464,0.37254901960784315,0.6153846153846154,0.6274509803921569,0.38461538461538464,0.3137254901960784,0.6153846153846154,0.6862745098039216
109,0.2391304347826087,0.17543859649122806,0.7608695652173914,0.8245614035087719,0.34782608695652173,0.2982456140350877,0.6521739130434783,0.7017543859649122,0.34782608695652173,0.2807017543859649,0.6521739130434783,0.7192982456140351,0.32608695652173914,0.2807017543859649,0.6739130434782609,0.7192982456140351
110,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.8181818181818182,0.3333333333333333,0.2909090909090909,0.6666666666666666,0.7090909090909091,0.375,0.2727272727272727,0.625,0.7272727272727273,0.4375,0.23636363636363636,0.5625,0.7636363636363637
111,0.4666666666666667,0.22413793103448276,0.5333333333333333,0.7758620689655172,0.35555555555555557,0.2413793103448276,0.6444444444444445,0.7586206896551724,0.4,0.20689655172413793,0.6,0.7931034482758621,0.26666666666666666,0.20689655172413793,0.7333333333333333,0.7931034482758621
112,0.3181818181818182,0.2542372881355932,0.6818181818181818,0.7457627118644068,0.36363636363636365,0.3389830508474576,0.6363636363636364,0.6610169491525424,0.38636363636363635,0.4067796610169492,0.6136363636363636,0.5932203389830508,0.4318181818181818,0.3050847457627119,0.5681818181818182,0.6949152542372882
113,0.26666666666666666,0.39655172413793105,0.7333333333333333,0.603448275862069,0.37777777777777777,0.41379310344827586,0.6222222222222222,0.5862068965517241,0.35555555555555557,0.43103448275862066,0.6444444444444445,0.5689655172413793,0.35555555555555557,0.3275862068965517,0.6444444444444445,0.6724137931034483
114,0.4166666666666667,0.3090909090909091,0.5833333333333334,0.6909090909090909,0.5625,0.38181818181818183,0.4375,0.6181818181818182,0.625,0.2909090909090909,0.375,0.7090909090909091,0.5416666666666666,0.2909090909090909,0.4583333333333333,0.7090909090909091
115,0.15217391304347827,0.24561403508771928,0.8478260869565217,0.7543859649122807,0.45652173913043476,0.43859649122807015,0.5434782608695652,0.5614035087719298,0.43478260869565216,0.42105263157894735,0.5652173913043478,0.5789473684210527,0.45652173913043476,0.40350877192982454,0.5434782608695652,0.5964912280701754
116,0.3076923076923077,0.37254901960784315,0.6923076923076923,0.6274509803921569,0.4230769230769231,0.35294117647058826,0.5769230769230769,0.6470588235294118,0.40384615384615385,0.3333333333333333,0.5961538461538461,0.6666666666666666,0.36538461538461536,0.2549019607843137,0.6346153846153846,0.7450980392156863
117,0.3695652173913043,0.43859649122807015,0.6304347826086957,0.5614035087719298,0.30434782608695654,0.43859649122807015,0.6956521739130435,0.5614035087719298,0.391304347826087,0.49122807017543857,0.6086956521739131,0.5087719298245614,0.32608695652173914,0.38596491228070173,0.6739130434782609,0.6140350877192983
118,0.2857142857142857,0.2222222222222222,0.7142857142857143,0.7777777777777778,0.3469387755102041,0.2222222222222222,0.6530612244897959,0.7777777777777778,0.3673469387755102,0.24074074074074073,0.6326530612244898,0.7592592592592593,0.3673469387755102,0.25925925925925924,0.6326530612244898,0.7407407407407407
119,0.2972972972972973,0.21212121212121213,0.7027027027027027,0.7878787878787878,0.40540540540540543,0.4090909090909091,0.5945945945945946,0.5909090909090909,0.4594594594594595,0.3787878787878788,0.5405405405405406,0.6212121212121212,0.43243243243243246,0.3787878787878788,0.5675675675675675,0.6212121212121212
120,0.13953488372093023,0.11666666666666667,0.8604651162790697,0.8833333333333333,0.2558139534883721,0.31666666666666665,0.7441860465116279,0.6833333333333333,0.37209302325581395,0.38333333333333336,0.627906976744186,0.6166666666666667,0.20930232558139536,0.3333333333333333,0.7906976744186046,0.6666666666666666
121,0.2857142857142857,0.2037037037037037,0.7142857142857143,0.7962962962962963,0.3877551020408163,0.35185185185185186,0.6122448979591837,0.6481481481481481,0.4897959183673469,0.3888888888888889,0.5102040816326531,0.6111111111111112,0.40816326530612246,0.3888888888888889,0.5918367346938775,0.6111111111111112
122,0.3953488372093023,0.35,0.6046511627906976,0.65,0.37209302325581395,0.36666666666666664,0.627906976744186,0.6333333333333333,0.3488372093023256,0.35,0.6511627906976745,0.65,0.3023255813953488,0.3,0.6976744186046512,0.7
123,0.4375,0.2727272727272727,0.5625,0.7272727272727273,0.375,0.34545454545454546,0.625,0.6545454545454545,0.375,0.36363636363636365,0.625,0.6363636363636364,0.3333333333333333,0.2909090909090909,0.6666666666666666,0.7090909090909091
124,0.358974358974359,0.390625,0.6410256410256411,0.609375,0.38461538461538464,0.3125,0.6153846153846154,0.6875,0.38461538461538464,0.375,0.6153846153846154,0.625,0.358974358974359,0.296875,0.6410256410256411,0.703125
125,0.3617021276595745,0.42857142857142855,0.6382978723404256,0.5714285714285714,0.48936170212765956,0.48214285714285715,0.5106382978723404,0.5178571428571429,0.425531914893617,0.39285714285714285,0.574468085106383,0.6071428571428571,0.48936170212765956,0.4107142857142857,0.5106382978723404,0.5892857142857143
126,0.36585365853658536,0.3225806451612903,0.6341463414634146,0.6774193548387096,0.4634146341463415,0.4032258064516129,0.5365853658536586,0.5967741935483871,0.4634146341463415,0.46774193548387094,0.5365853658536586,0.532258064516129,0.3170731707317073,0.41935483870967744,0.6829268292682927,0.5806451612903226
