,Logistic Regression Priviledged Rate,Logistic Regression Discriminated Rate,LDA Priviledged Rate,LDA Discriminated Rate,XG Priviledged Rate,XG Discriminated Rate,Decision Tree Priviledged Rate,Decision Tree Discriminated Rate,RF Priviledged Rate,RF Discriminated Rate
219,0.22448979591836735,0.5151515151515151,0.22448979591836735,0.42857142857142855,0.2,0.3888888888888889,0.17647058823529413,0.47058823529411764,0.22448979591836735,0.3157894736842105
220,0.2711864406779661,0.2,0.3392857142857143,0.2,0.29310344827586204,0.2727272727272727,0.3888888888888889,0.2923076923076923,0.3392857142857143,0.2537313432835821
221,0.17391304347826086,0.17204301075268819,0.38461538461538464,0.23863636363636365,0.5,0.2823529411764706,0.4594594594594595,0.4155844155844156,0.5428571428571428,0.2247191011235955
222,0.2641509433962264,0.2191780821917808,0.28846153846153844,0.2361111111111111,0.425531914893617,0.43548387096774194,0.9142857142857143,0.4126984126984127,0.24074074074074073,0.2714285714285714
223,0.25862068965517243,0.23170731707317074,0.43137254901960786,0.21686746987951808,0.35185185185185186,0.20238095238095238,0.46,0.20238095238095238,0.32727272727272727,0.12222222222222222
224,0.140625,0.1111111111111111,0.40384615384615385,0.3793103448275862,0.35185185185185186,0.5686274509803921,0.5531914893617021,0.5384615384615384,0.4897959183673469,0.42857142857142855
225,0.39473684210526316,0.2857142857142857,0.5588235294117647,0.2857142857142857,0.43243243243243246,0.3333333333333333,0.7666666666666667,0.35,0.5142857142857142,0.22727272727272727
226,0.20689655172413793,0.3150684931506849,0.34615384615384615,0.37142857142857144,0.32075471698113206,0.37142857142857144,0.4583333333333333,0.352112676056338,0.4,0.23076923076923078
227,0.12727272727272726,0.06741573033707865,0.37777777777777777,0.35714285714285715,0.37777777777777777,0.3013698630136986,0.47619047619047616,0.3013698630136986,0.34782608695652173,0.28378378378378377
228,0.2,0.36,0.2765957446808511,0.3783783783783784,0.2,0.36,0.42857142857142855,0.34210526315789475,0.2765957446808511,0.2911392405063291
229,0.12307692307692308,0.24242424242424243,0.40384615384615385,0.3442622950819672,0.37735849056603776,0.3225806451612903,0.7380952380952381,0.3898305084745763,0.40384615384615385,0.3225806451612903
230,0.1206896551724138,0.10344827586206896,0.4772727272727273,0.28,0.4772727272727273,0.3333333333333333,0.625,0.37142857142857144,0.4444444444444444,0.2631578947368421
231,0.1323529411764706,0.024096385542168676,0.5098039215686274,0.21428571428571427,0.5714285714285714,0.26865671641791045,0.5714285714285714,0.25,0.4807692307692308,0.18055555555555555
232,0.234375,0.3548387096774194,0.31666666666666665,0.3770491803278688,0.38596491228070173,0.3770491803278688,0.29508196721311475,0.4482758620689655,0.27419354838709675,0.3125
233,0.2641509433962264,0.19480519480519481,0.4888888888888889,0.3142857142857143,0.5581395348837209,0.373134328358209,0.45652173913043476,0.3142857142857143,0.3673469387755102,0.2777777777777778
234,0.391304347826087,0.28378378378378377,0.5238095238095238,0.3380281690140845,0.6,0.3013698630136986,0.7297297297297297,0.39705882352941174,0.6,0.25
